保单年度,被保险人年龄,年度保费,累计保费,中英鑫盈家现金价值,爱心守护神现金价值,福满盈3.0固收现金价值,福满盈3.0总现金价值,中意固收现金价值,中意总现金价值

1,2,20000.00,20000.00,2020.00,1938.00,2280.00,2332.27,9371.67,9589.19
2,3,20000.00,40000.00,9600.00,5022.00,5920.00,6229.45,24338.86,25024.53
3,4,20000.00,60000.00,25980.00,9430.00,10600.00,11534.37,43437.99,44865.85
4,5,20000.00,80000.00,57340.00,33594.00,29320.00,31417.58,65949.42,68419.26
5,6,20000.00,100000.00,102580.00,104594.00,58280.00,62258.37,90935.16,94774.54
6,7,0.00,100000.00,105140.00,107208.00,77900.00,83333.73,94121.04,99440.52
7,8,0.00,100000.00,107780.00,109890.00,98060.00,105024.28,97412.04,104329.43
8,9,0.00,100000.00,110460.00,112636.00,100020.00,108593.28,99360.77,107877.58
9,10,0.00,100000.00,113220.00,115452.00,102020.00,112284.84,101349.92,111547.58
10,11,0.00,100000.00,116060.00,118338.00,104060.00,116102.71,103371.42,115334.69
11,12,0.00,100000.00,118960.00,121298.00,106140.00,120048.75,105441.44,119258.62
12,13,0.00,100000.00,121940.00,124330.00,108260.00,124128.84,107551.89,123314.91
13,14,0.00,100000.00,124980.00,127438.00,110440.00,128363.72,109702.76,127508.09
14,15,0.00,100000.00,128100.00,130624.00,112640.00,132718.55,111894.07,131840.16
15,16,0.00,100000.00,131320.00,133890.00,114900.00,137237.48,114133.89,136325.49
16,17,0.00,100000.00,134600.00,137236.00,117200.00,141906.43,116414.14,140956.71
17,18,0.00,100000.00,137960.00,140668.00,119540.00,146727.19,118742.91,145750.09
18,19,0.00,100000.00,141400.00,144180.00,121920.00,151704.17,121104.02,150688.09
19,20,0.00,100000.00,144920.00,147782.00,124340.00,156844.03,123521.74,155806.04
20,21,0.00,100000.00,148540.00,151476.00,126820.00,162168.59,125979.88,161087.85
21,22,0.00,100000.00,152260.00,155262.00,129360.00,167688.02,128494.63,166558.34
22,23,0.00,100000.00,156060.00,159142.00,131940.00,173381.82,131049.80,172200.99
23,24,0.00,100000.00,159960.00,163120.00,134560.00,179257.65,133661.58,178044.63
24,25,0.00,100000.00,163940.00,167198.00,137240.00,185340.90,136329.96,184090.97
25,26,0.00,100000.00,168040.00,171378.00,139980.00,191639.26,139054.94,190346.71
26,27,0.00,100000.00,172240.00,175662.00,142780.00,198156.05,141828.44,196807.57
27,28,0.00,100000.00,176540.00,180054.00,145640.00,204896.48,144658.54,203489.81
